数据集,模型,缺失率,预测长度,mse,mae
ETTh1,TQNet,50,96,0.7467291355133057,0.6103430986404419
ETTh1,TQNet,50,192,0.7789989113807678,0.6263972520828247
ETTh1,TQNet,50,336,0.8434464335441589,0.6551498770713806
ETTh1,TQNet,50,720,1.0267443656921387,0.741277813911438
ETTh1,TQNet,80,96,2.201847553253174,1.0292580127716064
ETTh1,TQNet,80,192,2.2861156463623047,1.0518704652786255
ETTh1,TQNet,80,336,2.375722646713257,1.0799214839935303
ETTh1,TQNet,80,720,2.8122575283050537,1.1930906772613525
ETTh1,TimeFilter,0,96,0.44385644793510437,0.45132356882095337
ETTh1,TimeFilter,0,192,0.49190184473991394,0.48399484157562256
ETTh1,TimeFilter,0,336,0.5504883527755737,0.5207439661026001
ETTh1,TimeFilter,0,720,0.7044768333435059,0.6119490265846252
ETTh1,TimeFilter,5,96,0.4574268162250519,0.46223804354667664
ETTh1,TimeFilter,5,192,0.4957611560821533,0.49002665281295776
ETTh1,TimeFilter,5,336,0.5553712248802185,0.5260801911354065
ETTh1,TimeFilter,5,720,0.6951484084129333,0.6095370650291443
ETTh1,TimeFilter,10,96,0.45734903216362,0.46357476711273193
ETTh1,TimeFilter,10,192,0.504722535610199,0.49421465396881104
ETTh1,TimeFilter,10,336,0.5537643432617188,0.5257603526115417
ETTh1,TimeFilter,10,720,0.6988354921340942,0.6130192279815674
ETTh1,TimeFilter,20,96,0.4853419363498688,0.4767446219921112
ETTh1,TimeFilter,20,192,0.5497970581054688,0.5158722400665283
ETTh1,TimeFilter,20,336,0.5903329253196716,0.541771411895752
ETTh1,TimeFilter,20,720,0.7274453639984131,0.6205439567565918
ETTh1,TimeFilter,30,96,0.5362053513526917,0.503314197063446
ETTh1,TimeFilter,30,192,0.5848062038421631,0.53188556432724
ETTh1,TimeFilter,30,336,0.638824999332428,0.5622768998146057
ETTh1,TimeFilter,30,720,0.7722339630126953,0.6367030739784241
ETTh1,TimeFilter,50,96,0.7855479121208191,0.6353574991226196
ETTh1,TimeFilter,50,192,0.8035908937454224,0.6380181312561035
ETTh1,TimeFilter,50,336,0.8647258281707764,0.6647883057594299
ETTh1,TimeFilter,50,720,1.035085916519165,0.7350941300392151
ETTh1,TimeFilter,80,96,2.4717960357666016,1.1032593250274658
ETTh1,TimeFilter,80,192,2.5845346450805664,1.1407469511032104
ETTh1,TimeFilter,80,336,2.7038016319274902,1.1553893089294434
ETTh1,TimeFilter,80,720,2.98696231842041,1.2549662590026855
ETTh1,v1,0,96,0.41888514161109924,0.4469794034957886
ETTh1,v1,0,192,0.48731115460395813,0.49048593640327454
ETTh1,v1,0,336,0.5387895703315735,0.5244909524917603
ETTh1,v1,0,720,0.7042123079299927,0.6268734931945801
ETTh1,v1,5,96,0.4187934994697571,0.452073335647583
ETTh1,v1,5,192,0.48031172156333923,0.4912024736404419
ETTh1,v1,5,336,0.5526503324508667,0.5349998474121094
ETTh1,v1,5,720,0.6949378848075867,0.6233094930648804
ETTh1,v1,10,96,0.43625521659851074,0.46393758058547974
ETTh1,v1,10,192,0.4855816066265106,0.4968738853931427
ETTh1,v1,10,336,0.534877359867096,0.5288338661193848
ETTh1,v1,10,720,0.6902920007705688,0.62037193775177
ETTh1,v1,20,96,0.45700496435165405,0.4747472107410431
ETTh1,v1,20,192,0.5067870616912842,0.5074821710586548
ETTh1,v1,20,336,0.5630156993865967,0.5403909087181091
ETTh1,v1,20,720,0.6915465593338013,0.6170111894607544
