2026-05-01 21:13:28,372 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:13:28,426 - INFO - >>>>>>>start training : with_residual_decomposition_v2_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:14:58,892 - INFO - Y_seasonal mean abs: 1.5842, output mean abs: 0.5755
2026-05-01 21:14:58,913 - INFO - Y_seasonal mean abs: 1.6169, output mean abs: 0.5507
2026-05-01 21:14:58,935 - INFO - Y_seasonal mean abs: 1.6424, output mean abs: 0.5303
2026-05-01 21:14:58,955 - INFO - Y_seasonal mean abs: 1.6668, output mean abs: 0.5163
2026-05-01 21:14:58,976 - INFO - Y_seasonal mean abs: 1.6864, output mean abs: 0.5001
2026-05-01 21:14:58,998 - INFO - Y_seasonal mean abs: 1.7029, output mean abs: 0.4919
2026-05-01 21:14:59,019 - INFO - Y_seasonal mean abs: 1.7117, output mean abs: 0.4845
2026-05-01 21:14:59,041 - INFO - Y_seasonal mean abs: 1.7176, output mean abs: 0.4798
2026-05-01 21:14:59,061 - INFO - Y_seasonal mean abs: 1.7275, output mean abs: 0.4883
2026-05-01 21:14:59,081 - INFO - Y_seasonal mean abs: 1.7436, output mean abs: 0.4910
2026-05-01 21:14:59,102 - INFO - Y_seasonal mean abs: 1.7477, output mean abs: 0.5019
2026-05-01 21:14:59,122 - INFO - Y_seasonal mean abs: 1.7522, output mean abs: 0.5174
2026-05-01 21:14:59,144 - INFO - Y_seasonal mean abs: 1.7638, output mean abs: 0.5329
2026-05-01 21:14:59,164 - INFO - Y_seasonal mean abs: 1.7663, output mean abs: 0.5293
2026-05-01 21:14:59,185 - INFO - Y_seasonal mean abs: 1.7747, output mean abs: 0.5415
2026-05-01 21:14:59,207 - INFO - Y_seasonal mean abs: 1.7774, output mean abs: 0.5422
2026-05-01 21:14:59,226 - INFO - Y_seasonal mean abs: 1.7867, output mean abs: 0.5366
2026-05-01 21:14:59,247 - INFO - Y_seasonal mean abs: 1.7884, output mean abs: 0.5249
2026-05-01 21:14:59,267 - INFO - Y_seasonal mean abs: 1.7989, output mean abs: 0.5228
2026-05-01 21:14:59,284 - INFO - Y_seasonal mean abs: 1.7994, output mean abs: 0.5012
2026-05-01 21:14:59,304 - INFO - Y_seasonal mean abs: 1.8042, output mean abs: 0.4911
2026-05-01 21:14:59,323 - INFO - Y_seasonal mean abs: 1.8073, output mean abs: 0.4796
2026-05-01 21:14:59,345 - INFO - Y_seasonal mean abs: 1.8047, output mean abs: 0.4701
2026-05-01 21:14:59,367 - INFO - Y_seasonal mean abs: 1.7962, output mean abs: 0.4663
2026-05-01 21:14:59,386 - INFO - Y_seasonal mean abs: 1.7940, output mean abs: 0.4658
2026-05-01 21:14:59,408 - INFO - Y_seasonal mean abs: 1.7839, output mean abs: 0.4661
2026-05-01 21:14:59,427 - INFO - Y_seasonal mean abs: 1.7764, output mean abs: 0.4583
2026-05-01 21:14:59,447 - INFO - Y_seasonal mean abs: 1.7709, output mean abs: 0.4708
2026-05-01 21:14:59,468 - INFO - Y_seasonal mean abs: 1.7594, output mean abs: 0.4733
2026-05-01 21:14:59,488 - INFO - Y_seasonal mean abs: 1.7551, output mean abs: 0.4815
2026-05-01 21:14:59,509 - INFO - Y_seasonal mean abs: 1.7451, output mean abs: 0.4806
2026-05-01 21:14:59,531 - INFO - Y_seasonal mean abs: 1.7389, output mean abs: 0.4879
2026-05-01 21:14:59,550 - INFO - Y_seasonal mean abs: 1.7285, output mean abs: 0.4931
2026-05-01 21:14:59,572 - INFO - Y_seasonal mean abs: 1.7230, output mean abs: 0.4905
2026-05-01 21:15:00,258 - INFO - Epoch: 2 cost time: 23.21423363685608
2026-05-01 21:15:21,454 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4685
2026-05-01 21:15:21,615 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4518
2026-05-01 21:15:21,639 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4658
2026-05-01 21:15:21,651 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4587
2026-05-01 21:15:21,661 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4626
2026-05-01 21:15:21,670 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4578
2026-05-01 21:15:43,689 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4820
2026-05-01 21:15:43,830 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4323
2026-05-01 21:15:43,842 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4297
2026-05-01 21:15:43,852 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.5140
2026-05-01 21:15:43,863 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.5127
2026-05-01 21:15:43,873 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4527
2026-05-01 21:15:43,883 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.5536
2026-05-01 21:15:43,894 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.5508
2026-05-01 21:15:43,904 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.5234
2026-05-01 21:15:43,914 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.5105
2026-05-01 21:15:43,926 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4565
2026-05-01 21:15:43,937 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4831
2026-05-01 21:15:43,947 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4575
2026-05-01 21:15:43,955 - INFO - Y_seasonal mean abs: 1.6964, output mean abs: 0.4868
2026-05-01 21:15:44,628 - INFO - Epoch: 2, Steps: 46 | Train Loss: 0.4870591 Vali Loss: 0.3698663 Test Loss: 0.4728117
2026-05-01 21:15:44,629 - INFO - Validation loss decreased (0.507998 --> 0.369866).  Saving model ...
2026-05-01 21:15:44,634 - INFO - Updating learning rate to 0.001
2026-05-01 21:16:05,818 - INFO - Y_seasonal mean abs: 1.7122, output mean abs: 0.4964
2026-05-01 21:16:06,025 - INFO - Y_seasonal mean abs: 1.6998, output mean abs: 0.4959
2026-05-01 21:16:06,051 - INFO - Y_seasonal mean abs: 1.6916, output mean abs: 0.4903
2026-05-01 21:16:06,075 - INFO - Y_seasonal mean abs: 1.6851, output mean abs: 0.4871
2026-05-01 21:16:06,099 - INFO - Y_seasonal mean abs: 1.6716, output mean abs: 0.4789
2026-05-01 21:16:06,122 - INFO - Y_seasonal mean abs: 1.6597, output mean abs: 0.4773
2026-05-01 21:16:06,146 - INFO - Y_seasonal mean abs: 1.6552, output mean abs: 0.4768
2026-05-01 21:16:06,170 - INFO - Y_seasonal mean abs: 1.6406, output mean abs: 0.4749
2026-05-01 21:16:06,192 - INFO - Y_seasonal mean abs: 1.6364, output mean abs: 0.4764
2026-05-01 21:16:06,215 - INFO - Y_seasonal mean abs: 1.6275, output mean abs: 0.4758
2026-05-01 21:16:06,237 - INFO - Y_seasonal mean abs: 1.6179, output mean abs: 0.4725
2026-05-01 21:16:06,257 - INFO - Y_seasonal mean abs: 1.6018, output mean abs: 0.4717
2026-05-01 21:16:06,279 - INFO - Y_seasonal mean abs: 1.5957, output mean abs: 0.4795
2026-05-01 21:16:06,301 - INFO - Y_seasonal mean abs: 1.5808, output mean abs: 0.4700
2026-05-01 21:16:06,321 - INFO - Y_seasonal mean abs: 1.5710, output mean abs: 0.4798
2026-05-01 21:16:06,342 - INFO - Y_seasonal mean abs: 1.5644, output mean abs: 0.4734
2026-05-01 21:16:06,364 - INFO - Y_seasonal mean abs: 1.5574, output mean abs: 0.4682
2026-05-01 21:16:06,386 - INFO - Y_seasonal mean abs: 1.5471, output mean abs: 0.4712
2026-05-01 21:16:06,406 - INFO - Y_seasonal mean abs: 1.5411, output mean abs: 0.4709
2026-05-01 21:16:06,427 - INFO - Y_seasonal mean abs: 1.5294, output mean abs: 0.4589
2026-05-01 21:16:06,449 - INFO - Y_seasonal mean abs: 1.5212, output mean abs: 0.4704
2026-05-01 21:16:06,470 - INFO - Y_seasonal mean abs: 1.5157, output mean abs: 0.4612
2026-05-01 21:16:06,490 - INFO - Y_seasonal mean abs: 1.5052, output mean abs: 0.4711
2026-05-01 21:16:06,510 - INFO - Y_seasonal mean abs: 1.5016, output mean abs: 0.4707
2026-05-01 21:16:06,531 - INFO - Y_seasonal mean abs: 1.4938, output mean abs: 0.4829
2026-05-01 21:16:06,552 - INFO - Y_seasonal mean abs: 1.4852, output mean abs: 0.4720
2026-05-01 21:16:06,572 - INFO - Y_seasonal mean abs: 1.4817, output mean abs: 0.4709
2026-05-01 21:16:06,593 - INFO - Y_seasonal mean abs: 1.4750, output mean abs: 0.4695
2026-05-01 21:16:06,611 - INFO - Y_seasonal mean abs: 1.4635, output mean abs: 0.4851
2026-05-01 21:16:06,632 - INFO - Y_seasonal mean abs: 1.4583, output mean abs: 0.4742
2026-05-01 21:16:06,652 - INFO - Y_seasonal mean abs: 1.4558, output mean abs: 0.4773
2026-05-01 21:16:06,670 - INFO - Y_seasonal mean abs: 1.4501, output mean abs: 0.4794
2026-05-01 21:16:06,690 - INFO - Y_seasonal mean abs: 1.4464, output mean abs: 0.4694
2026-05-01 21:16:06,711 - INFO - Y_seasonal mean abs: 1.4443, output mean abs: 0.4632
2026-05-01 21:16:06,733 - INFO - Y_seasonal mean abs: 1.4392, output mean abs: 0.4649
2026-05-01 21:16:06,751 - INFO - Y_seasonal mean abs: 1.4326, output mean abs: 0.4681
2026-05-01 21:16:06,774 - INFO - Y_seasonal mean abs: 1.4301, output mean abs: 0.4620
2026-05-01 21:16:06,798 - INFO - Y_seasonal mean abs: 1.4320, output mean abs: 0.4663
2026-05-01 21:16:06,819 - INFO - Y_seasonal mean abs: 1.4298, output mean abs: 0.4577
2026-05-01 21:16:06,841 - INFO - Y_seasonal mean abs: 1.4322, output mean abs: 0.4669
2026-05-01 21:16:06,862 - INFO - Y_seasonal mean abs: 1.4289, output mean abs: 0.4731
2026-05-01 21:16:06,884 - INFO - Y_seasonal mean abs: 1.4230, output mean abs: 0.4765
2026-05-01 21:16:06,907 - INFO - Y_seasonal mean abs: 1.4242, output mean abs: 0.4687
2026-05-01 21:16:06,930 - INFO - Y_seasonal mean abs: 1.4290, output mean abs: 0.4748
2026-05-01 21:16:06,948 - INFO - Y_seasonal mean abs: 1.4271, output mean abs: 0.4774
2026-05-01 21:16:06,967 - INFO - Y_seasonal mean abs: 1.4254, output mean abs: 0.4807
