2026-05-01 22:16:05,749 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 22:16:05,801 - INFO - >>>>>>>start training : 取消Y_seasonal_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 22:17:36,000 - INFO - Y_seasonal mean abs: 0.2789, output mean abs: 0.4638
2026-05-01 22:17:36,019 - INFO - Y_seasonal mean abs: 0.2785, output mean abs: 0.4718
2026-05-01 22:17:36,039 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4709
2026-05-01 22:17:36,059 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4782
2026-05-01 22:17:36,079 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4837
2026-05-01 22:17:36,099 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4822
2026-05-01 22:17:36,779 - INFO - Epoch: 2 cost time: 22.720909357070923
2026-05-01 22:17:57,794 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4649
2026-05-01 22:17:57,890 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4482
2026-05-01 22:17:58,016 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4614
2026-05-01 22:17:58,027 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4534
2026-05-01 22:17:58,039 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4588
2026-05-01 22:17:58,049 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4545
2026-05-01 22:18:20,390 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4762
2026-05-01 22:18:20,603 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4327
2026-05-01 22:18:20,611 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4299
2026-05-01 22:18:20,623 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.5088
2026-05-01 22:18:20,633 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.5012
2026-05-01 22:18:20,643 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4476
2026-05-01 22:18:20,654 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.5398
2026-05-01 22:18:20,664 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.5375
2026-05-01 22:18:20,675 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.5142
2026-05-01 22:18:20,686 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.5013
2026-05-01 22:18:20,696 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4494
2026-05-01 22:18:20,705 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4743
2026-05-01 22:18:20,714 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4559
2026-05-01 22:18:20,722 - INFO - Y_seasonal mean abs: 0.2120, output mean abs: 0.4760
2026-05-01 22:18:21,427 - INFO - Epoch: 2, Steps: 46 | Train Loss: 0.4880606 Vali Loss: 0.3679225 Test Loss: 0.4743004
2026-05-01 22:18:21,427 - INFO - Validation loss decreased (0.517012 --> 0.367923).  Saving model ...
2026-05-01 22:18:21,433 - INFO - Updating learning rate to 0.001
2026-05-01 22:18:42,515 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4924
2026-05-01 22:18:42,769 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4936
2026-05-01 22:18:42,836 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4926
2026-05-01 22:18:42,856 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4917
2026-05-01 22:18:42,878 - INFO - Y_seasonal mean abs: 0.2787, output mean abs: 0.4872
2026-05-01 22:18:42,900 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4867
2026-05-01 22:18:42,920 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4861
2026-05-01 22:18:42,941 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4859
2026-05-01 22:18:42,963 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4854
2026-05-01 22:18:42,986 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4840
2026-05-01 22:18:43,005 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4764
2026-05-01 22:18:43,024 - INFO - Y_seasonal mean abs: 0.2776, output mean abs: 0.4749
2026-05-01 22:18:43,044 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4791
2026-05-01 22:18:43,065 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4691
2026-05-01 22:18:43,083 - INFO - Y_seasonal mean abs: 0.2777, output mean abs: 0.4765
2026-05-01 22:18:43,103 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4705
2026-05-01 22:18:43,121 - INFO - Y_seasonal mean abs: 0.2792, output mean abs: 0.4654
2026-05-01 22:18:43,139 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4685
2026-05-01 22:18:43,159 - INFO - Y_seasonal mean abs: 0.2790, output mean abs: 0.4710
2026-05-01 22:18:43,179 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4636
2026-05-01 22:18:43,200 - INFO - Y_seasonal mean abs: 0.2777, output mean abs: 0.4763
2026-05-01 22:18:43,219 - INFO - Y_seasonal mean abs: 0.2794, output mean abs: 0.4693
2026-05-01 22:18:43,237 - INFO - Y_seasonal mean abs: 0.2776, output mean abs: 0.4817
2026-05-01 22:18:43,257 - INFO - Y_seasonal mean abs: 0.2785, output mean abs: 0.4802
2026-05-01 22:18:43,276 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4952
2026-05-01 22:18:43,296 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4824
2026-05-01 22:18:43,314 - INFO - Y_seasonal mean abs: 0.2791, output mean abs: 0.4808
2026-05-01 22:18:43,336 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4767
2026-05-01 22:18:43,354 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4924
